Spectrum,Type,Name,Norm,Time/h,Na2O,Na2O.err,MgO,MgO.err,Al2O3,Al2O3.err,SiO2,SiO2.err,P2O5,P2O5.err,SO3,SO3.err,Cl,Cl.err,K2O,K2O.err,CaO,CaO.err,TiO2,TiO2.err,Cr2O3,Cr2O3.err,MnO,MnO.err,FeO,FeO.err,Ni,Ni.err,Zn,Zn.err,Br,Br.err
B1332_CS,RU,SmithAsis,68,9.0,2.16,0.17,7.47,0.08,8.11,0.08,42.50,0.28,1.01,0.07,12.72,0.11,0.98,0.02,0.52,0.06,6.17,0.04,0.95,0.07,0.23,0.03,0.26,0.01,16.80,0.07,579,43,705,17,170,16
B1348_CS,RB,SmithBrushed,55,3.4,1.71,0.33,7.65,0.16,5.84,0.12,36.10,0.41,1.07,0.10,23.24,0.27,0.81,0.02,0.58,0.06,4.34,0.05,0.81,0.07,0.22,0.04,0.29,0.02,17.20,0.15,637,64,859,33,122,19
B1349_CS,RB,SmithBrushed2,55,10.6,1.70,0.24,7.63,0.11,5.85,0.09,36.10,0.34,1.04,0.08,23.21,0.21,0.78,0.02,0.57,0.06,4.37,0.04,0.83,0.07,0.19,0.03,0.26,0.01,17.20,0.11,598,46,835,20,122,16
B1361_CS,RU,Smith2Asis,66,3.8,2.09,0.22,7.18,0.11,8.17,0.12,42.80,0.44,0.99,0.08,11.79,0.15,0.96,0.02,0.55,0.06,6.31,0.06,0.94,0.08,0.23,0.04,0.32,0.01,17.50,0.14,561,57,683,27,199,20
B1375_CS,RR,Smith2RAT,55,12.0,1.70,0.18,7.27,0.09,6.10,0.08,37.20,0.34,1.03,0.08,22.02,0.20,0.84,0.02,0.58,0.06,4.47,0.04,0.83,0.07,0.19,0.03,0.29,0.01,17.30,0.11,624,45,777,19,113,16
B1384_CS,RU,Lyell1_asis,53,12.0,2.00,0.18,7.53,0.09,7.13,0.09,39.20,0.35,1.03,0.08,17.96,0.17,1.11,0.02,0.55,0.06,5.49,0.04,0.88,0.07,0.20,0.03,0.26,0.01,16.50,0.11,544,45,434,15,131,16
B1388_CS,RR,Lyell1_RAT,50,12.0,1.47,0.24,7.82,0.11,5.80,0.09,35.70,0.34,1.04,0.08,23.41,0.21,1.43,0.02,0.58,0.06,4.28,0.04,0.84,0.07,0.19,0.03,0.29,0.01,17.00,0.11,603,46,455,16,57,16
B1395_CT,RU,Lyell2_asis,62,10.6,2.13,0.18,7.31,0.09,7.60,0.09,40.70,0.37,1.03,0.07,15.59,0.15,1.10,0.02,0.57,0.06,5.76,0.04,0.89,0.07,0.21,0.03,0.28,0.01,16.70,0.11,566,44,392,14,196,17
B1397_CS,RU,Lyell3_asis,56,13.5,2.07,0.18,7.36,0.09,7.54,0.09,40.80,0.36,1.02,0.07,15.79,0.15,1.12,0.02,0.55,0.06,5.64,0.04,0.89,0.07,0.18,0.03,0.27,0.01,16.60,0.10,579,43,427,14,248,17
B1409_CS,RU,Smith3_Asis,54,3.8,1.93,0.22,7.42,0.10,7.30,0.10,39.90,0.34,1.05,0.09,16.69,0.18,1.08,0.03,0.56,0.06,5.75,0.06,0.81,0.07,0.23,0.04,0.32,0.01,16.80,0.10,628,61,460,25,206,20
