_unit_id,_golden,_canary,_unit_state,_trusted_judgments,_last_judgment_at,google1_correct_website,google1_correct_website:confidence,google1_correct_website_found,google1_correct_website_found:confidence,google1_correct_website_worker_input,google1_correct_website_worker_input:confidence,info_about_park_on_a_list_website,info_about_park_on_a_list_website:confidence,info_about_park_on_a_list_website_worker_input,info_about_park_on_a_list_website_worker_input:confidence,park_info_found_on_state_website,park_info_found_on_state_website:confidence,google1_correct_website_found_gold,google1_correct_website_gold,info_about_park_on_a_list_website_gold,national_or_state,park_info_found_on_state_website_gold,park_name,park_state,park_wikipedia_url,state_park,unit_id
522769577,TRUE,FALSE,golden,24,,http://nysparks.com/golf-courses/11/details.aspx,1,yes,1,http://www.nysparks.com/golf-courses/11/details.aspx,1,,0,,0,,,yes,http://nysparks.com/golf-courses/11/details.aspx,,state,,Bethpage State Park Golf Courses,New York,http://en.wikipedia.org/w/index.php?title=Bethpage_State_Park_Golf_Courses&action=edit&redlink=1,,54346
522769578,TRUE,FALSE,golden,22,,http://cpw.state.co.us/placestogo/parks/JamesMRobbColoradoRiver/,0.6492,yes,1,http://cpw.state.co.us/placestogo/parks/JamesMRobbColoradoRiver,0.6492,,,,0,,,yes,http://cpw.state.co.us/placestogo/parks/JamesMRobbColoradoRiver/,,state,,James M. Robb - Colorado River State Park,Colorado,http://en.wikipedia.org/wiki/James_M._Robb_-_Colorado_River_State_Park,,41620
522769579,TRUE,FALSE,golden,22,,http://dnr.state.il.us/lands/landmgt/parks/r1/johnson.htm,0.7014,yes,1,http://dnr.state.il.us/lands/landmgt/parks/r1/johnson.htm,0.605,,,,0,,,yes,http://dnr.state.il.us/lands/landmgt/parks/r1/johnson.htm,,state,,Johnson-Sauk Trail State Park,Illinois,http://en.wikipedia.org/wiki/Johnson-Sauk_Trail_State_Park,,26038
522769581,FALSE,,finalized,3,8/10/14 7:54,http://mass.gov/eea/agencies/dcr/massparks/region-north/ashland-state-park.html,1,yes,1,http://www.mass.gov/eea/agencies/dcr/massparks/region-north/ashland-state-park.html,1,,,,0,,,,,,state,,Ashland State Park,Massachusetts,http://en.wikipedia.org/wiki/Ashland_State_Park,,41125
522769582,TRUE,,golden,19,,http://dnr.alaska.gov/parks/units/pwssmp/smpwhit1.htm,0.6893,yes,0.7411,http://dnr.alaska.gov/parks/units/pwssmp/smpwhit1.htm,0.5492,,0,,0,,0,yes,http://dnr.alaska.gov/parks/units/pwssmp/smpwhit1.htm,,state,,Decision Point State Marine Park,Alaska,http://en.wikipedia.org/w/index.php?title=Decision_Point_State_Marine_Park&action=edit&redlink=1,,26080
522769583,FALSE,,finalized,3,8/10/14 7:30,http://dcnr.state.pa.us/stateparks/findapark/whippledam/,1,yes,1,http://www.dcnr.state.pa.us/stateparks/findapark/whippledam/,1,,,,0,,,,,,state,,Whipple Dam State Park,Pennsylvania,http://en.wikipedia.org/wiki/Whipple_Dam_State_Park,,36171
522769584,FALSE,,finalized,3,8/10/14 8:02,http://dnr.state.mn.us/state_parks/temperance_river/,1,yes,1,http://www.dnr.state.mn.us/state_parks/temperance_river/index.html,1,,,,0,,,,,,state,,Temperance River State Park,Minnesota,http://en.wikipedia.org/wiki/Temperance_River_State_Park,,30897
522769585,FALSE,,finalized,3,8/10/14 8:02,http://ct.gov/deep/cwp/view.asp?a=2716&q=479336,0.6667,yes,1,http://www.ct.gov/deep/cwp/view.asp?a=2716&q=479336,0.6667,,,,0,,,,,,state,,Air Line State Park Trail,Connecticut,http://en.wikipedia.org/wiki/Air_Line_State_Park_Trail,,22637
522769586,FALSE,,finalized,3,8/10/14 11:41,http://nps.gov/keaq/,1,yes,1,http://www.nps.gov/keaq/index.htm,1,,,,0,,,,,,national,,Kenilworth Park and Aquatic Gardens,District of Columbia,http://en.wikipedia.org/wiki/Kenilworth_Park_and_Aquatic_Gardens,,55342
522769587,FALSE,,finalized,3,8/10/14 7:45,http://stateparks.com/green_bank_state_forest_in_new_jersey.html,1,yes,1,http://www.stateparks.com/green_bank_state_forest_in_new_jersey.html,0.6707,,,,0,,,,,,state,,Green Bank State Forest,New Jersey,http://en.wikipedia.org/w/index.php?title=Green_Bank_State_Forest&action=edit&redlink=1,,29756
