--------------------
BDMEP - INMET
--------------------
Estação           : **SAO PAULO MIR de SANTANA  - SP (OMM: 83781)**
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: **01/01/2000 a 27/08/2015**
Os dados listados abaixo são os que encontram-se digitados no BDMEP

--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83781;31/03/2003;0000;9;3.137634;6.6;120.1;101.262873;101.262873;149;7.376344;19;126.5;;925.523656;27.783871;22.410968;18.958065;72.677419;;
83781;30/04/2003;0000;9;2.556554;6.3;117.8;83.304403;83.304403;173.4;6.95;5;45.6;;927.051111;26.526667;21.383333;17.65;70.8;;
83781;31/05/2003;0000;0;2.515054;6.1;140.7;58.764704;58.764704;205.1;6.741935;5;33.1;;928.163441;23.641935;18.236774;14.222581;69.645161;;
83781;30/06/2003;0000;32;1.753815;5.6;115.4;60.9221;52.630893;;5.533708;4;16;;928.523333;25.056667;19.064;14.943333;71.841667;;
83781;31/07/2003;0000;0;1.353763;4.6;145.1;55.146068;19;;5.870968;1;19;1020.23913;930.804301;23.632258;17.823226;13.464516;65.758065;;
83781;31/08/2003;0000;5;2.336559;5;122.3;47.049669;25.3;;6.215054;10;25.3;;929.524731;22.096774;16.072903;11.809677;68.822581;;
83781;30/09/2003;0000;5;2.918889;5.8;107.8;;;;6.8;7;34.5;;928.168889;24.43;18.281333;14.28;71.116667;;
83781;31/10/2003;0000;5;3.549462;6.6;144.2;;;;7.376344;10;126.7;;926.377419;26.46129;20.13871;15.93871;72.258065;;
83781;30/11/2003;0000;32;3.572222;8.3;147.1;;;;8.022222;14;99.3;;924.111111;26.686667;20.980667;17.073333;73.025;;
83781;31/12/2003;0000;36;3.196017;7.9;130;;;;8.709677;17;139.8;;924.160215;28.351613;22.538065;18.874194;74.709677;;
